username,location,tweet_text,created_at,retweets,likes,language
schwabe_willi,no_location,GdPHauptstadt Hey GdP Berlin GdPHauptstadt wenn ihr euch sooo wichtig macht mit Petition Denkt mal drber nach,2025-01-06 13:56:29+00:00,0,0,de
MaximLitwinow,Dresden/Olgino/lakhta/Sachsen,Wenn es so eng steht kann es schon mal vorkommen dass zu Silvester beim kein mehr fr brig ist Man spart um am 0905 etwas Butter auf dem Tisch zu haben,2025-01-06 13:46:45+00:00,0,0,de
UlrichManns,no_location,Ich bin fr ein Verbot Dann kann da auch nichts mehr passieren,2025-01-06 13:34:13+00:00,0,1,de
ExplosivSpirit,Berlin,das die Forderung nach einem bundesweiten als irgendwie komisch bezeichnet zeigt das Scholz irgendwie komisch ist Ihm sind die Opfer egal er schielt auf Whlerstimmen Auch das verantwortunsgsbewusste schadet Menschen Tieren Umwelt,2025-01-06 13:16:36+00:00,1,10,de
JKasek,Leipzig,Die Debatte zum Verbot von gibt es in auch schon ein bisschen Der Stand zur Umsetzung seitens der Stadt ist hier nachlesbar,2025-01-06 12:54:24+00:00,0,0,de
marillion13,"Baden-Württemberg, D",von wer wie ich kein Handy hat kann hier ber ein abstimmen Ich wre dafr in vielen anderen Lndern ist privates strikt verboten DasErste,2025-01-06 12:02:53+00:00,1,1,de
tk38548,Deutschland,Meinet wegen verbietet ihr Fahr ich hal nchstes Jahr ins Ausland znde da Feuerwerk und poste berall wie wunderschn doch das Ausland im Vergleich zu kack Deutschland ist,2025-01-06 11:03:34+00:00,0,0,de
LSJonline,"Bayern, Deutschland",Mit ber einer Million gesammelten Unterschriften hat der Vorsto fr ein Bllerverbot bereits groe Resonanz gefunden Alles dazu in den Nachrichten im LSJonlineMittagsmagazin,2025-01-06 11:00:02+00:00,0,0,de
bottleneck_bob,Hamburg,ZDFheute Fr gesprochenen Wrter und Dinge die Dich heute rechtsextrem geltend machen und zu verurteilung fhren knnten mit Adler,2025-01-06 10:14:04+00:00,0,0,de
trendingsurf,no_location,01062025 Whats the Hottest movie in Germany of News amp Politics Berlin360 Check out the REAL YouTube trends here,2025-01-06 09:30:34+00:00,0,0,en
schlorian,"Zürich, Schweiz",Alles hat auch gute Seiten,2025-01-06 08:41:47+00:00,0,1,de
berlinerzeitung,"Berlin, Deutschland",In der Silvesternacht wurden erneut Polizisten mit angegriffen und verletzt Eine fr ein erreichte ber eine Million Unterschriften,2025-01-06 08:34:00+00:00,2,25,de
mahmoud_hamdy45,no_location,Explore Abu Dhabis rich traditions and modern vision with the Department of Culture and Tourism at AIM Congress 2025,2025-01-06 07:42:43+00:00,0,0,en
cramesco_cc,Earth,Ist Silvester zu einem Synonym fr Stupiditt verkommen Knaller amp Bller immer doofer amp dmmer Der Staat in Form von Polizei UND Justiz mu statt mte hrter sanktionieren PseudofeuerwerksIdioten ruinieren so manche Silvesterparty,2025-01-06 05:14:23+00:00,0,1,de
MoskitoSix27921,no_location,Zahlreiche Brnde durch Familie verliert Zuhause Rund um den Jahreswechsel ist Feuerwehr in zu mehreren Hundert Einstzen ausgerckt Der Schaden durch Brnde geht in die Millionen Feuer Jihad,2025-01-05 22:07:02+00:00,0,0,de
Hooperman19,no_location,VasiFranco Ich bller seit Jahren nicht Aber fr 20252026 mchte ich alles rausholen was geht Vor oder Haus Das wei ich noch nicht,2025-01-05 18:53:57+00:00,0,3,de
LabetzkeMichael,Bremerhaven,Angesichts ber einer Million Unterzeichnerinnen ist klar Das Bllerverbot muss kommen Und kommt mir nicht mit Tradition oder anderen Ausreden Petition DieGruenen PolizeiGruen BDKBund GdPPresse,2025-01-05 17:44:10+00:00,1,4,de
Pixelnase,Frankfurt - Germany,Es hatte schon seinen Grund dass auf den Feuerwerkskrpern Verkauf nicht an Minderjhrige draufstand Dieses neue Klientel hat nicht mehr Gehirnzellen als ein 5jhriges Kind,2025-01-05 17:43:28+00:00,0,0,de
LotharUlsamer,"Esslingen, Baden-Württemberg",Das SilvesterRitual Tote Verletzte Brnde verngstigte Tiere Feinstaub Politik drckt sich um ein Bllerverbot,2025-01-05 16:44:35+00:00,0,0,de
Gatekeeper_one,"55.20005,12.22796",Warum Weil es an den Personen liegt die das bedienen In Polen gibt es auch keine auf etc Warum,2025-01-05 16:22:26+00:00,0,0,de
Leo_nie_Bruder,Lateinamerika ist auch schön,FrauHodl GdPHauptstadt dpa Tagesspiegel tagesschau ZDF FunkeBerlin WELTAMSONNTAG RTLcom sat1 berlinerzeitung SZ macht sich unfreiwillig zum einer en Agenda ist nicht das Problem sondern in den Hnden der der Das wird Ihre nicht morgen nutzen sie evtl bereits schwere Abhilfe geht anders,2025-01-05 15:11:00+00:00,0,4,de
PeterSchwarz11,Beckingen/ Saar,Mit vielen Feiernden und groem ist berwiegend friedlich in d Jahr 2025 gestartet Im Hamburger Stadtteil geraten Feuerwehrleute u Feiernde aneinander Die Feuerwehr berichtet von einem Angriff mit Feuerwerkskrpern,2025-01-05 15:02:54+00:00,0,0,de
BruggemannHeike,no_location,Der Beitrag zeigt wie gefhrlich sind und dass man nur fr Private zugelassene kaufen sollte Aufklrung ist ebenfalls wichtig Besprecht das Thema mit euren Kindern im Verein in der Schule,2025-01-05 14:51:24+00:00,0,1,de
ConR19989810,no_location,Ein Bllerverbot bringt nichts da die problematischen Artikel meist F4 waren nicht F1F2 Als friedlicher Pyro der jedes Jahr ein groes sicheres F2Feuerwerk organisiert fr sein Dorf finde ich das ungerecht und unverhltnismig,2025-01-05 13:39:02+00:00,0,0,de
Inga_Ruppender,no_location,Hrte in der in Berlin ArtillerieKanonenschlge Von wem oder was wurde eingenommen Ich fordere fr die Zivilbevlkerung fr kommende Jahreswechselfeiern,2025-01-05 10:45:57+00:00,0,0,de
DieterTillmann,Assholevillage,patr28145 FazerDDorf Lam3th Nicht von dem o dem geht die Gefahr aus Sie geht von dem aus der das Messer fhrt bzw das Feuerwerk in Rtg MenschenGebude zndet Wir lsen das nicht mit Verboten sondern mit AbschiebungBestrafung,2025-01-05 09:13:25+00:00,0,1,de
blaubeerblau2,liminal space,squirrelpics1 Wre es nicht wesentlich sinnvoller den Verkauf von zu verbieten,2025-01-05 09:13:25+00:00,0,1,de
AndreasMaisch,Berlin,Sinnvolle fr ein bundesweites Bllerverbot In der ChaotenStadt wre ein Bllerverbot sinnvoll stattdessen knnten die Bezirke professionelles ausrichten,2025-01-05 09:03:48+00:00,0,1,de
Braswyn0xr,Prague,Starting 2025 surrounded by Madeiras stunning volcanic beauty a perfect way to ignite fresh goals Smith,2025-01-05 05:07:47+00:00,0,0,en
DrakoonLP,no_location,Liked on YouTube Pyro Launcher Abschussbecher Vogelschreck amp Ratterpatronen,2025-01-05 03:45:34+00:00,0,0,de
PachT1945,Erfurt-Melchendorf,050125 amp statt das ist geistige via PachT,2025-01-05 03:15:39+00:00,0,1,de
AsterixohneA,Deutschland,Hallo 2025 Canon 90D Canon EFS 18 135 mm Shutter 45 BULB o Stativ Blende 10 ISO 400,2025-01-05 01:35:30+00:00,0,0,en
612Mondkalb,no_location,Nur ne Nacht wusste ich doch war dabei,2025-01-04 23:12:19+00:00,0,0,de
FrankPu10,Deutschland,CScharun Was hat bitte das eine mit dem anderen zu tun Was juckt es denn diese Leute ob es ein Bllerverbot gibt oder nicht die werden sich trotzdem ihr eigenen Bller basteln oder illegale aus dem Ausland znden Httest du dir sparen knnen den Post,2025-01-04 23:01:26+00:00,0,1,de
FehringerMartin, 🇩🇪🇨🇭🇦🇹🇺🇸🇪🇺,Richtig so schoss in RaketenRambo festgenommen Wann lernt die clindner und FriedrichMerz,2025-01-04 20:31:54+00:00,0,3,de
Hotfogel,no_location,Der mit anzndende luft wie viele andere seinesgleichen in weier flauschiger Oberbekleidung herum wie ein sowas von cleanes Unschuldslamm Aber was hat er im Kopf,2025-01-04 20:06:45+00:00,0,0,de
info_bitte,everyplace,Attalah Younes schoss in Kinderzimmer festgenommen Kaum vorstellbar da man den Typen festgenommen htte wenn nicht das Rechtsbewusstsein der vielen Millionen Menschen in die Behrden zum Handeln gezwungen htte,2025-01-04 18:45:28+00:00,0,1,de
ms_clueless1,no_location,Das sind doch mal gute Nachrichten wurde verhaftet als er sich vom Acker machen wollte,2025-01-04 18:29:38+00:00,0,3,de
Greider_Ger,no_location,bzberlin Vielleicht sollten besser die Talahons verboten werden und nicht das bei Lidl und Aldi verkaufte,2025-01-04 18:06:14+00:00,0,2,de
